Price,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs,Schlusskurs
Ticker,AMZN,ASML,META,NVDA,TSLA
Datum,,,,,
2025-08-13,224.55999755859375,754.2318725585938,779.5538940429688,181.5797576904297,339.3800048828125
2025-08-14,230.97999572753906,753.8724975585938,781.6024780273438,182.00973510742188,335.5799865722656
2025-08-15,231.02999877929688,740.8455810546875,784.7003784179688,180.4398193359375,330.55999755859375
2025-08-18,231.49000549316406,746.22607421875,766.8524169921875,181.99972534179688,335.1600036621094
2025-08-19,228.00999450683594,742.2930297851562,750.97314453125,175.63009643554688,329.30999755859375
2025-08-20,223.80999755859375,748.16259765625,747.2156372070312,175.39010620117188,323.8999938964844
2025-08-21,221.9499969482422,734.0975952148438,738.6014404296875,174.97012329101562,320.1099853515625
2025-08-22,228.83999633789062,753.5531005859375,754.2808837890625,177.97996520996094,340.010009765625
2025-08-25,227.94000244140625,753.1238403320312,752.7918701171875,179.79986572265625,346.6000061035156
2025-08-26,228.7100067138672,761.848388671875,753.5913696289062,181.75975036621094,351.6700134277344
2025-08-27,229.1199951171875,768.6362915039062,746.8759155273438,181.5897674560547,349.6000061035156
2025-08-28,231.60000610351562,762.10791015625,750.6033935546875,180.1598358154297,345.9800109863281
2025-08-29,229.0,741.3048095703125,738.2017822265625,174.170166015625,333.8699951171875
2025-09-02,225.33999633789062,724.564453125,734.6141357421875,170.77037048339844,329.3599853515625
2025-09-03,225.99000549316406,735.5150756835938,736.5528564453125,170.61038208007812,334.0899963378906
2025-09-04,235.67999267578125,752.0956420898438,748.1450805664062,171.65032958984375,338.5299987792969
2025-09-05,232.3300018310547,780.3156127929688,751.9425048828125,167.01058959960938,350.8399963378906
2025-09-08,235.83999633789062,794.83984375,751.7925415039062,168.30050659179688,346.3999938964844
2025-09-09,238.24000549316406,803.7041015625,765.1835327148438,170.7503662109375,346.9700012207031
2025-09-10,230.3300018310547,791.7353515625,751.4727783203125,177.32000732421875,347.7900085449219
2025-09-11,229.9499969482422,802.7357788085938,750.3935546875,177.1699981689453,368.80999755859375
2025-09-12,228.14999389648438,812.4285888671875,755.0803833007812,177.82000732421875,395.94000244140625
2025-09-15,231.42999267578125,865.7639770507812,764.1842041015625,177.75,410.0400085449219
2025-09-16,234.0500030517578,876.8642578125,778.4745483398438,174.8800048828125,421.6199951171875
2025-09-17,231.6199951171875,870.7252197265625,775.19677734375,170.2899932861328,425.8599853515625
2025-09-18,231.22999572753906,926.1567993164062,779.7237548828125,176.24000549316406,416.8500061035156
2025-09-19,231.47999572753906,930.4991455078125,777.85498046875,176.6699981689453,426.07000732421875
2025-09-22,227.6300048828125,956.1036987304688,765.1599731445312,183.61000061035156,434.2099914550781
2025-09-23,220.7100067138672,961.8035888671875,755.4000244140625,178.42999267578125,425.8500061035156
2025-09-24,220.2100067138672,945.262939453125,760.6599731445312,176.97000122070312,442.7900085449219
2025-09-25,218.14999389648438,947.8682861328125,748.9099731445312,177.69000244140625,423.3900146484375
2025-09-26,219.77999877929688,949.8348388671875,743.75,178.19000244140625,440.3999938964844
2025-09-29,222.1699981689453,960.9051513671875,743.4000244140625,181.85000610351562,443.2099914550781
2025-09-30,219.57000732421875,966.37548828125,734.3800048828125,186.5800018310547,444.7200012207031
2025-10-01,220.6300048828125,1001.4932250976562,717.3400268554688,187.24000549316406,459.4599914550781
2025-10-02,222.41000366210938,1028.3455810546875,727.0499877929688,188.88999938964844,436.0
2025-10-03,219.50999450683594,1030.391845703125,710.5599975585938,187.6199951171875,429.8299865722656
2025-10-06,220.89999389648438,1041.4522705078125,715.6599731445312,185.5399932861328,453.25
2025-10-07,221.77999877929688,1000.52490234375,713.0800170898438,185.0399932861328,433.0899963378906
